picnum	sadness	neutral	contempt	disgust	anger	surprise	fear	happiness
Hermione2.png	6.262725e-05	0.03917146	0.00016956059	4.75153854e-07	6.562256e-08	2.30907935e-05	6.188324e-08	0.96057266
Hermione3.png	1.24223789e-06	0.00058711943	3.9599654e-06	7.682398e-07	5.278856e-09	1.29374985e-06	1.16119547e-09	0.9994056
Hermione31.png	0.000131355089	0.0126654087	2.840867e-05	0.00237164879	0.005397907	0.975899756	0.00289289234	0.0006126259
Hermione32.png	0.00291467831	0.911016464	0.00913489	3.57290446e-06	1.0414542e-05	0.0006852173	1.10910232e-05	0.07622364
Hermione33.png	9.07627837e-05	0.0307236668	0.0006637729	0.0009692828	0.000156715789	0.0021657066	1.55848284e-05	0.9652145
Hermione34.png	0.570710838	0.323685884	0.00217494648	0.0146980016	0.000925654254	0.0717105	0.0157341938	0.00036001057
Hermione37.png	0.3482762	0.0774480551	1.71414049e-05	0.0005412699	2.17039251e-05	0.528517962	0.0451700948	7.59114664e-06
Hermione38.png	0.487433851	0.43337515	0.00668318244	0.000784261	0.000247839285	0.0006045793	0.000959072961	0.06991206
Hermione39.png	0.105118163	0.495375246	0.0115720211	0.00638015429	0.00190170656	0.0138738239	0.00766511261	0.358113766
Hermione4.png	3.866761e-06	0.001096602	7.103877e-05	8.573516e-06	4.84987254e-07	0.000241830159	6.40218261e-08	0.998577535
Hermione42.png	0.0164457168	0.7449301	0.005352173	0.00322830444	0.00161303114	0.168968156	0.0137344394	0.0457281
Hermione47.png	0.003019317	0.9947915	0.0006080716	1.92071238e-05	1.963936e-06	0.0007520722	1.606328e-05	0.000791802246
Hermione48.png	0.0204681344	0.8679637	0.01013221	0.0009976309	0.0003683744	0.05369609	0.0113814818	0.0349923968
Hermione49.png	0.00386233744	0.8175329	0.0009443435	9.232154e-05	0.0004461869	0.161648527	0.007858854	0.00761450548
Hermione5.png	1.17635579e-09	1.05607718e-08	7.68391961e-10	2.80358126e-10	8.55968e-10	9.722885e-08	4.612267e-10	0.9999999
Hermione50.png	2.63594779e-06	0.0003004946	4.25382859e-06	5.971915e-07	4.09092735e-07	0.00389976567	2.86641389e-05	0.9957632
Hermione51.png	0.00508780265	0.867418647	0.008154778	0.0002273249	0.000768421	0.0160582066	0.00101782545	0.10126698
Hermione55.png	0.0102486759	0.9519577	0.005863795	0.00077698403	0.0033542912	0.01418824	0.00225085672	0.0113594607
Hermione9.png	0.00110020209	0.8349993	0.00116604369	1.22979527e-05	4.92831168e-06	0.000482393225	1.59937917e-05	0.1622188
Hermione1.png	0.002250828	0.17033866	0.0132682212	0.0128689073	0.0009912152	0.000192951338	5.00735e-06	0.800084233
Hermione10.png	0.0113673853	0.6387341	0.000833026133	0.00215666415	6.500096e-05	0.290727	0.00106502185	0.0550517924
Hermione11.png	0.008604689	0.7819088	0.004248943	1.98476e-05	7.96683253e-06	1.79598028e-05	2.418916e-07	0.205191523
Hermione12.png	0.004660174	0.987997532	0.000434682384	2.956064e-06	6.45596e-06	3.69591035e-05	9.709986e-07	0.006860256
Hermione15.png	0.0010113233	0.9809802	0.00207074755	8.922828e-06	1.78380069e-05	0.001466471	8.190327e-06	0.0144363157
Hermione16.png	7.41147551e-06	0.001967729	2.34647032e-05	3.95010575e-05	3.64979428e-06	0.000126383369	2.05602078e-06	0.9978298
Hermione19.png	0.009932473	0.9632072	0.00401724037	0.000102826532	0.000121853831	0.00167431717	8.480928e-05	0.0208592732
